,Zone,Code with States/ UTs Name,Total Households,Total Rural Household,Total Urban Household,Number Normal Rural,Number Normal Urban,Institutional Rural,Institutional Urban,Houseless Rural,Houseless Urban,Houseless with Shelter Urban,Houseless without Shelter Urban,% Normal Rural,% Noramal Urban,% Institutional Rural,% Institutional Urban,% Houseless Rural,% Houseless Urban,% Houseless with Shelter Urban,% Houseless without Shelter Urban
0,All India,,244921406,179787454,65133952,178850331,64758891,464365,272632,157475,97030,73296,23684,99.48%,99.42%,0.26%,0.42%,0.09%,0.15%,0.11%,0.04%
1,North Total,,13184604,9104338,4080266,9078937,4063595,17796,10252,7566,6395,5472,922,99.72%,99.59%,0.20%,0.25%,0.08%,0.16%,0.13%,0.02%
2,North,01 - JAMMU & KASHMIR,2094081,1601606,492475,1597021,491166,2255,1042,2318,263,189,74,99.71%,99.73%,0.14%,0.21%,0.14%,0.05%,0.04%,0.02%
3,North,02 - HIMACHAL PRADESH,1427365,1263756,163609,1260272,162693,2548,514,936,402,400,2,99.72%,99.44%,0.20%,0.31%,0.07%,0.25%,0.24%,0.00%
4,North,03 - PUNJAB,5032199,3269467,1762732,3259370,1758386,8117,2991,1968,1349,1250,99,99.69%,99.75%,0.25%,0.17%,0.06%,0.08%,0.07%,0.01%
5,North,06 - HARYANA,4630959,2969509,1661450,2962274,1651350,4876,5705,2344,4381,3633,747,99.76%,99.39%,0.16%,0.34%,0.08%,0.26%,0.22%,0.04%
6,East Total,,56425418,47307665,9117753,47216532,9074750,75143,25765,15774,17085,11987,5094,99.81%,99.53%,0.16%,0.28%,0.03%,0.19%,0.13%,0.06%
7,East,10 - BIHAR,20074242,17829066,2245176,17792345,2237967,31872,5634,4838,1442,710,732,99.79%,99.68%,0.18%,0.25%,0.03%,0.06%,0.03%,0.03%
8,East,19 - WEST BENGAL,20367144,15756750,4610394,15731748,4587192,20553,10605,4270,12588,10338,2246,99.84%,99.50%,0.13%,0.23%,0.03%,0.27%,0.22%,0.05%
9,East,20 - JHARKHAND,6041931,5044234,997697,5031003,991902,12155,4206,1069,1580,337,1243,99.74%,99.42%,0.24%,0.42%,0.02%,0.16%,0.03%,0.12%
10,East,21 - ODISHA,9942101,8677615,1264486,8661436,1257689,10563,5320,5597,1475,602,873,99.81%,99.46%,0.12%,0.42%,0.06%,0.12%,0.05%,0.07%
11,West Total,,48031550,31206237,16825313,31085767,16757512,68007,42243,52088,25460,17508,7933,99.61%,99.60%,0.22%,0.25%,0.17%,0.15%,0.10%,0.05%
12,West,08 - RAJASTHAN,13136591,10223073,2913518,10193959,2900290,14417,6011,14499,7194,5584,1601,99.72%,99.55%,0.14%,0.21%,0.14%,0.25%,0.19%,0.05%
13,West,24 - GUJARAT,11629409,6920473,4708936,6893059,4684835,21502,13603,5884,10464,5716,4748,99.60%,99.49%,0.31%,0.29%,0.09%,0.22%,0.12%,0.10%
14,West,27 - MAHARASHTRA,22962600,13841960,9120640,13778359,9090267,31788,22539,31665,7793,6200,1583,99.54%,99.67%,0.23%,0.25%,0.23%,0.09%,0.07%,0.02%
15,West,30 - GOA,302950,220731,82219,220390,82120,300,90,40,9,8,1,99.85%,99.88%,0.14%,0.11%,0.02%,0.01%,0.01%,0.00%
16,South Total,,58874180,39443917,19430263,39252256,19299771,160643,108706,30805,17081,12656,4404,99.51%,99.33%,0.41%,0.56%,0.08%,0.09%,0.07%,0.02%
17,South,28 - ANDHRA PRADESH,12270164,9344180,2925984,9295627,2914011,33047,8354,15492,3329,3001,313,99.48%,99.59%,0.35%,0.29%,0.17%,0.11%,0.10%,0.01%
18,South,29 - KARNATAKA,13139063,8048664,5090399,8019699,5062930,24192,21057,4723,6381,4243,2132,99.64%,99.46%,0.30%,0.41%,0.06%,0.13%,0.08%,0.04%
19,South,32 - KERALA,7698556,6319215,1379341,6303679,1375583,13752,2913,1776,845,449,396,99.75%,99.73%,0.22%,0.21%,0.03%,0.06%,0.03%,0.03%
20,South,33 - TAMILNADU,17521956,10088119,7433837,10011731,7354997,73300,69552,3078,4908,3557,1351,99.24%,98.94%,0.73%,0.94%,0.03%,0.07%,0.05%,0.02%
21,South,28 - TELANGANA,8244441,5643739,2600702,5621520,2592250,16352,6830,5736,1618,1406,212,99.61%,99.68%,0.29%,0.26%,0.10%,0.06%,0.05%,0.01%
22,Central Total,,54883219,43325279,11557940,42837287,11466472,126349,78625,47267,12434,8916,3513,98.87%,99.21%,0.29%,0.68%,0.11%,0.11%,0.08%,0.03%
23,Central,05 - UTTARAKHAND,1968773,1479742,489031,1472790,480571,5750,7913,1201,547,498,49,99.53%,98.27%,0.39%,1.62%,0.08%,0.11%,0.10%,0.01%
24,Central,09 - UTTAR PRADESH,32475784,26015592,6460192,25621456,6421001,66767,34919,13128,4269,3475,794,98.49%,99.39%,0.26%,0.54%,0.05%,0.07%,0.05%,0.01%
25,Central,22 - CHHATTISGARH,5714798,4540999,1173799,4520340,1164700,12979,7712,7632,1382,954,428,99.55%,99.22%,0.29%,0.66%,0.17%,0.12%,0.08%,0.04%
26,Central,23 - MADHYA PRADESH,14723864,11288946,3434918,11222701,3400200,40853,28081,25306,6236,3989,2242,99.41%,98.99%,0.36%,0.82%,0.22%,0.18%,0.12%,0.07%
27,North Eastern Total,,9421847,8061458,1360389,8044903,1357929,13614,1983,2881,470,391,79,99.79%,99.82%,0.17%,0.15%,0.04%,0.03%,0.03%,0.01%
28,North Eastern,11 - SIKKIM,120014,88723,31291,87732,31072,850,218,140,1,1,0,98.88%,99.30%,0.96%,0.70%,0.16%,0.00%,0.00%,0.00%
29,North Eastern,12 - ARUNACHAL PRADESH,260217,201842,58375,201525,58336,310,38,5,1,1,0,99.84%,99.93%,0.15%,0.07%,0.00%,0.00%,0.00%,0.00%
30,North Eastern,13 - NAGALAND,379164,284310,94854,284016,94629,261,142,32,83,56,27,99.90%,99.76%,0.09%,0.15%,0.01%,0.09%,0.06%,0.03%
31,North Eastern,14 - MANIPUR,578939,448163,130776,447234,130470,802,262,127,44,37,7,99.79%,99.77%,0.18%,0.20%,0.03%,0.03%,0.03%,0.01%
32,North Eastern,15 - MIZORAM,226147,111626,114521,111528,114403,88,113,10,4,3,1,99.91%,99.90%,0.08%,0.10%,0.01%,0.00%,0.00%,0.00%
33,North Eastern,16 - TRIPURA,875621,697062,178559,695705,178337,897,192,442,26,20,6,99.81%,99.88%,0.13%,0.11%,0.06%,0.01%,0.01%,0.00%
34,North Eastern,17 - MEGHALAYA,554131,485897,68234,484910,68103,763,118,222,13,9,4,99.80%,99.81%,0.16%,0.17%,0.05%,0.02%,0.01%,0.01%
35,North Eastern,18 - ASSAM,6427614,5743835,683779,5732253,682579,9643,900,1903,298,264,34,99.80%,99.82%,0.17%,0.13%,0.03%,0.04%,0.04%,0.00%
36,UT Total,,4100588,1338560,2762028,1334649,2738862,2813,5058,1094,18105,16366,1739,99.71%,99.16%,0.21%,0.18%,0.08%,0.66%,0.59%,0.06%
37,UT,04 - CHANDIGARH,214233,15657,198576,15644,197854,12,300,1,421,289,132,99.92%,99.64%,0.08%,0.15%,0.01%,0.21%,0.15%,0.07%
38,UT,07 - NCT OF DELHI,3391313,1051097,2340216,1047909,2318172,2326,4417,862,17626,16023,1603,99.70%,99.06%,0.22%,0.19%,0.08%,0.75%,0.68%,0.07%
39,UT,25 - DAMAN AND DIU,44968,31795,13173,31776,13163,19,7,0,3,3,0,99.94%,99.92%,0.06%,0.05%,0.00%,0.02%,0.02%,0.00%
40,UT,26 - DADRA & NAGAR HAVELI,66571,45352,21219,45115,21180,81,29,156,10,10,0,99.48%,99.82%,0.18%,0.14%,0.34%,0.05%,0.05%,0.00%
41,UT,31 - LAKSHADWEEP,10929,10929,0,10913,0,16,0,0,0,0,0,99.85%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%
42,UT,34 - PUDUCHERRY,279857,115249,164608,115034,164274,149,288,66,45,41,4,99.81%,99.80%,0.13%,0.17%,0.06%,0.03%,0.02%,0.00%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,92717,68481,24236,68258,24219,210,17,9,0,0,0,99.67%,99.93%,0.31%,0.07%,0.01%,0.00%,0.00%,0.00%
